Acts,Keywords,Sections
"COMPANIES ACT, 2013",Oppression,Section 241
"COMPANIES ACT, 2013",Oppression,Section 242
"COMPANIES ACT, 2013",Oppression,Section 243
"COMPANIES ACT, 2013",Oppression,Section 244
"COMPANIES ACT, 2013",Mismanagement,Section 241
"COMPANIES ACT, 2013",Mismanagement,Section 242
"COMPANIES ACT, 2013",Mismanagement,Section 243
"COMPANIES ACT, 2013",Mismanagement,Section 244
"COMPANIES ACT, 2013",Class Action Suit ,Section 245
"COMPANIES ACT, 2013",Director Duties ,Section 166
"COMPANIES ACT, 2013",Disclosure of intrrest by directors ,Section 184
"COMPANIES ACT, 2013",Related Party Transactions ,Section 188
"COMPANIES ACT, 2013",AGM (Annual General Meeting ),Section 96
"COMPANIES ACT, 2013",EGM (Extraordinary General Meeting),Section 100
"COMPANIES ACT, 2013",Resignation ,Section 168
"COMPANIES ACT, 2013",Minority Share Holder's Rights ,Section 151
"COMPANIES ACT, 2013",Minority Share Holder's Rights ,Section 236
"COMPANIES ACT, 2013",Minority Share Holder's Rights ,Section 108
"COMPANIES ACT, 2013",Minority Share Holder's Rights ,Section 109
"COMPANIES ACT, 2013",Minority Share Holder's Rights ,Section 163
"COMPANIES ACT, 2013",Appointment ,Section 151
"COMPANIES ACT, 2013",Appointment ,Section 152
"COMPANIES ACT, 2013",Dividend,Section 123
"COMPANIES ACT, 2013",Dividend,Section 124
"COMPANIES ACT, 2013",Dividend,Section 125
"COMPANIES ACT, 2013",Dividend,Section 126
"COMPANIES ACT, 2013",Dividend,Section 127
"COMPANIES ACT, 2013",Notice of Meeting,Section 101
"COMPANIES ACT, 2013",Fraud,Section 447
"COMPANIES ACT, 2013",CSR (Corporate Social Responsibility),Section 135
"COMPANIES ACT, 2013",Striking off,Section 248
"COMPANIES ACT, 2013",Striking off,Section 252
"COMPANIES ACT, 2013",Arrangements,Section 230
"COMPANIES ACT, 2013",Arrangements,Section 231
"COMPANIES ACT, 2013",Amalgamations ,Sectiosn 232
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Eligibility,Section 22
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Relationship,Section 23
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Cessation or termination of partnership,Section 24
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Agent,Section 26
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Liability of LLP,Section 27
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Extent of Laibility ,Section 28
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Fraud,Section 30
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Whistle blowing / Revealing ,Section 31
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Contributions ,Section 32
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Contributions ,Section 33
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Maintainence of books of Account and other documents ,Section 34
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Accounting standards,Section 35
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Inspection,Section 36
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",False Information ,Section 37
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Destruction of old records,Section 40
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Conversion of Firm to LLP,Section 55
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Conversion of Private Company to LLP,Section 56
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Conversion of Unlisted Public Company to LLP,Section 57
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Registration of LLP,Section 58
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Winding up or Dissolution of LLP ,Section 63
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Winding up or Dissolution of LLP ,Section 64
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Winding up/ Dissolution of LLP ,Section 65
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Business transactions of Partner with LLP,Section 66
"LIMITED LIABILITY PARTNERSHIP ACT, 2008",Change in partnership,Section 25
"THE INDIAN PARTNERSHIP ACT, 1932",Liability for acts of partners done after dissolution,Section 45
"THE INDIAN PARTNERSHIP ACT, 1932",Notice to partner,Section 24
"THE INDIAN PARTNERSHIP ACT, 1932",Liability of Firm',Section 25
"THE INDIAN PARTNERSHIP ACT, 1932",Wrongful Acts,Section 26
"THE INDIAN PARTNERSHIP ACT, 1932",Misapplication,Section 27
"THE INDIAN PARTNERSHIP ACT, 1932",Introduction of Partner,Section 31
"THE INDIAN PARTNERSHIP ACT, 1932",Retirement,Section 32
"THE INDIAN PARTNERSHIP ACT, 1932",Expulsion,Section 33
"THE INDIAN PARTNERSHIP ACT, 1932",Insolvency,Section 34
"THE INDIAN PARTNERSHIP ACT, 1932",Estate,Section 35
"THE INDIAN PARTNERSHIP ACT, 1932",Competing business,Section 36
"THE INDIAN PARTNERSHIP ACT, 1932",Sharing of Subsequent Profits,Section 37
"THE INDIAN PARTNERSHIP ACT, 1932",Dissolution by Agreement ,Section 40
"THE INDIAN PARTNERSHIP ACT, 1932",Compulsory Dissolution,Section 41
"THE INDIAN PARTNERSHIP ACT, 1932",Dissolution because of Contingencies,Section 42
"THE INDIAN PARTNERSHIP ACT, 1932",Dissolution by Court,Section 44
"THE INDIAN PARTNERSHIP ACT, 1932",Winding up,Section 46
"THE INDIAN PARTNERSHIP ACT, 1932",Sale of Goodwill,Section 55
"THE INDIAN PARTNERSHIP ACT, 1932",Non-registration,Section 69
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Functions of Board,Section 11
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Power to issue Directions ,Section 11B
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Manipulative,Section 12A
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Deceptive,Section 12A
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Insider tradings,Section 12A
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Substantial acquisition of Securities,Section 12A
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Penalties and Adjudication ,Section 15A to 15HB
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Appeal to SC,Section 15Z
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Offences and Punishments,Section 24
"THE SECURITIES EXCHANGE BOARD OF INDIA ACT, 1992",Compounding of Offences ,Section 24A
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Liability of Agent Signing ,Section 28
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Liability of Legal Representative ,Section 29
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Liability of a Drawer,Section 30
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",liability of a Drawee,Section 31
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Unlawful means and unlawful consideration ,Section 58
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Instrument acquired after dishonour or when overdue ,Section 59
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Negotiate till satisfaction,Section 60
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Material Alteration ,Section 87
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Nonacceptance,Section 91 
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Nonpayment ,Section 92
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Parties to Notice,Section 93
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Mode of Notice,Section 94 
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",transmission of notice of Dishonour ,Section 95
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Cognizance of offences ,Section 142
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Honour,Section 108 - 116
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Rules for Compensation ,Section 117
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Dishonour of cheque for insufficiency ,Section 138
"THE NEGOTIABLE INSTRUMENTS ACT, 1882",Offences by company,Section 141
"BHARATA NYAYA SANHITA, 2023",Abetment,Section 45
"BHARATA NYAYA SANHITA, 2023",Abetment,Section 46
"BHARATA NYAYA SANHITA, 2023",Abettor present in person,Section 54
"BHARATA NYAYA SANHITA, 2023",Abetment punishable with death or imprisonment for life ,Section 55
"BHARATA NYAYA SANHITA, 2023",Abetment with imprisonment for life ,Section 56
"BHARATA NYAYA SANHITA, 2023",Conspiracy,Section 61
"BHARATA NYAYA SANHITA, 2023",Rape,Section 63
"BHARATA NYAYA SANHITA, 2023",Rape,Section 64
"BHARATA NYAYA SANHITA, 2023",Rape,Section 65
"BHARATA NYAYA SANHITA, 2023",Rape,Section 70
"BHARATA NYAYA SANHITA, 2023",Outraging modesty of a woman ,Section 73
"BHARATA NYAYA SANHITA, 2023",Sexual Harassment ,Section 74
"BHARATA NYAYA SANHITA, 2023",Disrobe,Section 75
"BHARATA NYAYA SANHITA, 2023",Voyeurism,Section 76
"BHARATA NYAYA SANHITA, 2023",Stalking,Section 77
"BHARATA NYAYA SANHITA, 2023",Obscene behavior ,Section 78
"BHARATA NYAYA SANHITA, 2023",Dowry death ,Section 79
"BHARATA NYAYA SANHITA, 2023",Deceitful marriage ,Section 80
"BHARATA NYAYA SANHITA, 2023",Polygamy,Section 81
"BHARATA NYAYA SANHITA, 2023","Enticing, taking away, or detaining with criminal intent a married woman ",Section 83 
"BHARATA NYAYA SANHITA, 2023",Cruelty by husband or relative ,Section 84
"BHARATA NYAYA SANHITA, 2023","Kidnapping, Abducting or inducing a women to compel her marriage ",Section 85
"BHARATA NYAYA SANHITA, 2023",Causing miscarriage ,Section 86
"BHARATA NYAYA SANHITA, 2023",Causing miscarriage ,Section 87
"BHARATA NYAYA SANHITA, 2023",Causing miscarriage ,Section 89
"BHARATA NYAYA SANHITA, 2023",Causing death of a quick unborn child ,Section 90
"BHARATA NYAYA SANHITA, 2023",Abandonment of child less than 12 years ,Section 91
"BHARATA NYAYA SANHITA, 2023",Concealment of birst by disposal of body ,Section 92
"BHARATA NYAYA SANHITA, 2023",Hiring a child to commit offence ,Section 93
"BHARATA NYAYA SANHITA, 2023",Procuration of child ,Section 94 
"BHARATA NYAYA SANHITA, 2023",Kidnapping a child less than 10 years ,Section 95 
"BHARATA NYAYA SANHITA, 2023",Child prostitution ,Section 96
"BHARATA NYAYA SANHITA, 2023",Child prostitution ,Section 97
"BHARATA NYAYA SANHITA, 2023",Culpable Homicide ,Section 98
"BHARATA NYAYA SANHITA, 2023",Murder,Section 99
"BHARATA NYAYA SANHITA, 2023",Punishment for murder ,Section 101
"BHARATA NYAYA SANHITA, 2023",Punishment for culpable homicide not amounting to murder ,Section 103
"BHARATA NYAYA SANHITA, 2023",Negligence,Section 104
"BHARATA NYAYA SANHITA, 2023",Abetment to Suicide of child ,Section 105
"BHARATA NYAYA SANHITA, 2023",Abetment to Suicide of mentally ill person ,Section 105
"BHARATA NYAYA SANHITA, 2023",Abetment to suicide ,Section 106
"BHARATA NYAYA SANHITA, 2023",Attempt to murder ,Section 107
"BHARATA NYAYA SANHITA, 2023",Attempt to commit culpable homicide ,Section 108
"BHARATA NYAYA SANHITA, 2023",Hurt,Section 112
"BHARATA NYAYA SANHITA, 2023",Hurt,Section 113
"BHARATA NYAYA SANHITA, 2023",Grievous hurt ,Section 114
"BHARATA NYAYA SANHITA, 2023",Grievous hurt ,Section 115
"BHARATA NYAYA SANHITA, 2023",Causing hurt by weapons ,Section 116
"BHARATA NYAYA SANHITA, 2023",Hurt for property ,Section 117
"BHARATA NYAYA SANHITA, 2023",Hurt to extort confession or compel restoration of property ,Section 118
"BHARATA NYAYA SANHITA, 2023",Hurt to deter public servant from duty ,Section 119
"BHARATA NYAYA SANHITA, 2023",Poisoning,Section 121
"BHARATA NYAYA SANHITA, 2023",Acid abuse ,Section 122
"BHARATA NYAYA SANHITA, 2023",Endangering life and personal liberty ,Section 123
"BHARATA NYAYA SANHITA, 2023",Restraint ,Section 124
"BHARATA NYAYA SANHITA, 2023",Confinement ,Section 125
"BHARATA NYAYA SANHITA, 2023",Criminal force ,Section 126
"BHARATA NYAYA SANHITA, 2023",Criminal force ,Section 127
"BHARATA NYAYA SANHITA, 2023",Assault ,Section 128
"BHARATA NYAYA SANHITA, 2023",Punishment for assault or force ,Section 129
"BHARATA NYAYA SANHITA, 2023",Punishment for assault or force ,Section 130
"BHARATA NYAYA SANHITA, 2023",Punishment for assault or force ,Section 131
"BHARATA NYAYA SANHITA, 2023",Assault and theft ,Section 132
"BHARATA NYAYA SANHITA, 2023",Assault and Confinement ,Section 133
"BHARATA NYAYA SANHITA, 2023",Assault and provocation ,Section 134
"BHARATA NYAYA SANHITA, 2023",Kidnapping,Section 135
"BHARATA NYAYA SANHITA, 2023",Kidnapping,Section 137
"BHARATA NYAYA SANHITA, 2023",Kidnapping,Section 138
"BHARATA NYAYA SANHITA, 2023",Kidnapping,Section 140
"BHARATA NYAYA SANHITA, 2023",Abduction ,Section 136
"BHARATA NYAYA SANHITA, 2023",Abduction ,Section 137
"BHARATA NYAYA SANHITA, 2023",Abduction ,Section 138
"BHARATA NYAYA SANHITA, 2023",Abduction ,Section 140
"BHARATA NYAYA SANHITA, 2023",Importation,Section 139
"BHARATA NYAYA SANHITA, 2023",Theft ,Section 301
"BHARATA NYAYA SANHITA, 2023",Snatching,Section 302
"BHARATA NYAYA SANHITA, 2023",Extortion,Section 306
"BHARATA NYAYA SANHITA, 2023",Robbery ,Section 307
"BHARATA NYAYA SANHITA, 2023",Dacoity ,Section 308
"BHARATA NYAYA SANHITA, 2023",Robbery or Dacoity and Grievous hurt ,Section 309
"BHARATA NYAYA SANHITA, 2023",Robbery or Dacoity and deadly weapon ,Section 310
"BHARATA NYAYA SANHITA, 2023",Misappropriation of property ,Section 312
"BHARATA NYAYA SANHITA, 2023",Misappropriation of property ,Section 313
"BHARATA NYAYA SANHITA, 2023",Criminal breach of trust ,Section 314
"BHARATA NYAYA SANHITA, 2023",Stolen property ,Section 315
"BHARATA NYAYA SANHITA, 2023",Cheating,Section 316
"BHARATA NYAYA SANHITA, 2023",Cheating,Section 317
"BHARATA NYAYA SANHITA, 2023",Mischief ,Section 322
"BHARATA NYAYA SANHITA, 2023",Trespass,Section 327
"BHARATA NYAYA SANHITA, 2023",House breaking ,Section 328
"BHARATA NYAYA SANHITA, 2023",Punishment for house breaking ,Section 329
"BHARATA NYAYA SANHITA, 2023",Forgery ,Section 334
"BHARATA NYAYA SANHITA, 2023",Criminal intimidation ,Section 349
"BHARATA NYAYA SANHITA, 2023",Defamation ,Section 354
